"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","should allow wife to save for next week (no payout)","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to save for next week (no payout)"
"","3","Hamster№1 late and didn't have time to withdraw money","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 late and didn't have time to withdraw money"
"","12","should revert when birthday is 0","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert when birthday is 0"
"","102","should return paginated grandchild list","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should return paginated grandchild list"
"","58","should only allow wife to add chores","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should only allow wife to add chores"
"","8","Should fail to create account without payment","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should fail to create account without payment"
"","7","Hamster№3 should has 9.5 beans planted","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№3 should has 9.5 beans planted"
"","10","should set the owner correctly","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should set the owner correctly"
"","3","Hamster№1 has no beans for sale yet","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 has no beans for sale yet"
"","2","Contract should be successfully deployed, account0 is owner","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Contract should be successfully deployed, account0 is owner"
"","54","Should fail to level up if account is already sold","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should fail to level up if account is already sold"
"","3","Hamster№1 should has 9.5 beans for sale","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans for sale"
"","12","should revert when non-owner tries to add grandchild","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert when non-owner tries to add grandchild"
