"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","should revert when birthday is 0","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert when birthday is 0"
"","25","should revert if ether transfer fails","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","Granny","Granny","should revert if ether transfer fails"
"","15","Should create a new account with payment >= 0.01 ETH","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should create a new account with payment >= 0.01 ETH"
"","13","Should fail to create a new account if already created","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should fail to create a new account if already created"
"","2","Hamster№1 has no beans for sale yet","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 has no beans for sale yet"
"","64","should set correct owner and wife","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should set correct owner and wife"
"","88","should return paginated grandchild list","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","Granny","Granny","should return paginated grandchild list"
"","11","should revert if caller is not a grandchild","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert if caller is not a grandchild"
"","2","Hamster№2 should make good money","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№2 should make good money"
"","17","should add weekly allowance after 7 days","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should add weekly allowance after 7 days"
"","12","should revert when adding the same grandchild twice","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert when adding the same grandchild twice"
"","33","Should handle insufficient funds during sale","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should handle insufficient funds during sale"
"","4","Hamster№2 should has 19 beans planted","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№2 should has 19 beans planted"
