"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Hamster№1 has no beans for sale yet","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№1 has no beans for sale yet"
"","2","Contract should be successfully deployed, account0 is owner","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Contract should be successfully deployed, account0 is owner"
"","33","should revert if ether transfer fails","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert if ether transfer fails"
"","32","should not allow advance if not enough accumulated","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough accumulated"
"","59","should allow wife to request payout for chores","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should allow wife to request payout for chores"
"","35","should allow wife to take advance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should allow wife to take advance"
"","42","should not allow double payout for same chore","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow double payout for same chore"
"","15","should revert when birthday is 0","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert when birthday is 0"
"","9","Hamster№2 should has 19 beans planted","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№2 should has 19 beans planted"
"","58","should only allow wife to add chores","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should only allow wife to add chores"
"","21","should revert if birthday hasn't arrived","","Fri Apr 17 07:54:45 UTC 2026","failed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert if birthday hasn't arrived"
"","12","should revert if caller is not a grandchild","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert if caller is not a grandchild"
"","12","Should fail to create a new account if already created","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should fail to create a new account if already created"
"","13","Should create a new account with payment >= 0.01 ETH","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should create a new account with payment >= 0.01 ETH"
"","15","should revert when non-owner tries to add weekly allowance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should revert when non-owner tries to add weekly allowance"
"","22","should handle requestPayout with empty array (no error, no payout)","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should handle requestPayout with empty array (no error, no payout)"
"","17","Should not allow non-owner to create account for another user","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","AccountSale","AccountSale","Should not allow non-owner to create account for another user"
"","21","should only allow owner to add weekly allowance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should only allow owner to add weekly allowance"
"","23","should not allow weekly allowance before 7 days","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow weekly allowance before 7 days"
"","15","should revert when non-wife tries to request payout","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to request payout"
"","10","Should fail to level up if account does not exist","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should fail to level up if account does not exist"
"","12","Should fail to create account without payment","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should fail to create account without payment"
